gc_mode,finish_threshold,finish_call_count,avg_pages_to_write,latency_micros_per_op,throughput_MB_per_s,timestamp
false,0,1,524284,21.964,45.2,2026-04-13 01:05:06
false,10,1,524284,24.234,40.9,2026-04-13 01:05:35
false,25,1,524284,23.265,42.6,2026-04-13 01:06:03
false,50,2,332766,20.984,47.3,2026-04-13 01:06:28
false,75,16,308357,36.619,27.1,2026-04-13 01:07:11
false,90,22,332585,45.231,21.9,2026-04-13 01:08:04
true,0,1,524284,24.375,40.7,2026-04-13 01:08:38
true,10,1,524284,24.026,41.3,2026-04-13 01:09:12
true,25,1,524284,22.068,44.9,2026-04-13 01:09:46
true,50,3,290507,23.112,42.9,2026-04-13 01:10:20
true,75,17,309561,37.436,26.5,2026-04-13 01:11:14
true,90,23,332798,45.231,21.9,2026-04-13 01:12:19
