gc_mode,finish_threshold,finish_call_count,avg_pages_to_write,latency_micros_per_op,throughput_MB_per_s,timestamp
false,0,0,N/A,21.228,46.7,2026-04-13 11:59:36
false,10,0,N/A,21.493,46.1,2026-04-13 12:00:03
false,25,0,N/A,21.722,45.7,2026-04-13 12:00:29
false,50,3,162829,24.034,41.3,2026-04-13 12:00:58
false,75,15,293969,36.292,27.3,2026-04-13 12:01:40
false,90,21,320487,45.944,21.6,2026-04-13 12:02:33
true,0,0,N/A,21.896,45.3,2026-04-13 12:03:07
true,10,0,N/A,20.186,49.1,2026-04-13 12:03:41
true,25,0,N/A,21.056,47.1,2026-04-13 12:04:15
true,50,1,141255,21.004,47.2,2026-04-13 12:04:50
true,75,19,312142,41.869,23.7,2026-04-13 12:05:44
true,90,22,324095,45.280,21.9,2026-04-13 12:06:48
