gc_mode,finish_threshold,total_pages_to_write,finish_call_count,latency_micros_per_op,throughput_MB_per_s,timestamp
false,0,0,0,21.575,46.0,2026-04-16 23:41:17
false,10,0,0,22.338,44.4,2026-04-16 23:41:45
false,20,0,0,21.070,47.1,2026-04-16 23:42:11
false,25,0,0,21.087,47.0,2026-04-16 23:42:37
false,30,282441,2,24.809,40.0,2026-04-16 23:43:07
false,40,488767,3,25.779,38.5,2026-04-16 23:43:38
false,50,488255,3,25.897,38.3,2026-04-16 23:44:10
false,55,1029124,5,28.587,34.7,2026-04-16 23:44:43
false,60,1300524,6,27.896,35.6,2026-04-16 23:45:18
false,70,1953678,8,33.716,29.4,2026-04-16 23:45:56
false,75,4738076,16,37.151,26.7,2026-04-16 23:46:41
false,80,7914399,24,49.531,20.0,2026-04-16 23:47:40
false,85,7515000,23,49.476,20.0,2026-04-16 23:48:37
false,90,6337145,20,44.592,22.2,2026-04-16 23:49:28
true,0,0,0,21.398,46.4,2026-04-16 23:50:03
true,10,0,0,21.027,47.2,2026-04-16 23:50:37
true,20,0,0,21.664,45.8,2026-04-16 23:51:12
true,25,0,0,21.373,46.4,2026-04-16 23:51:46
true,30,282356,2,23.768,41.7,2026-04-16 23:52:21
true,40,488530,3,26.405,37.6,2026-04-16 23:52:55
true,50,488458,3,26.383,37.6,2026-04-16 23:53:30
true,55,1300736,6,28.032,35.4,2026-04-16 23:54:14
true,60,1420053,6,30.772,32.2,2026-04-16 23:54:59
true,70,2223899,9,33.663,29.5,2026-04-16 23:55:43
true,75,4739020,16,37.424,26.5,2026-04-16 23:56:28
true,80,7915370,24,49.567,20.0,2026-04-16 23:57:32
true,85,8349641,25,52.837,18.8,2026-04-16 23:58:37
true,90,6744361,21,45.179,22.0,2026-04-16 23:59:32
