gc_mode,finish_threshold,total_pages_to_write,finish_call_count,latency_micros_per_op,throughput_MB_per_s,timestamp
false,0,0,0,19.638,50.5,2026-04-16 14:31:28
false,10,104311,9,18.841,52.6,2026-04-16 14:32:29
false,20,104252,9,18.057,54.9,2026-04-16 14:33:28
false,30,498982,10,18.613,53.3,2026-04-16 14:34:28
false,40,499006,10,19.838,50.0,2026-04-16 14:35:32
false,50,499155,10,19.555,50.7,2026-04-16 14:36:36
false,60,11659522,44,34.612,28.7,2026-04-16 14:38:25
false,70,11659812,44,34.688,28.6,2026-04-16 14:40:15
false,80,12057278,45,35.183,28.2,2026-04-16 14:42:07
false,90,12056987,45,35.188,28.2,2026-04-16 14:43:58
true,0,0,0,19.762,50.2,2026-04-16 14:45:03
true,10,103881,9,18.459,53.7,2026-04-16 14:46:07
true,20,103910,9,18.794,52.8,2026-04-16 14:47:11
true,30,499224,10,19.968,49.7,2026-04-16 14:48:25
true,40,499350,10,18.216,54.4,2026-04-16 14:49:29
true,50,499150,10,19.481,50.9,2026-04-16 14:50:33
true,60,11659131,44,34.616,28.7,2026-04-16 14:52:27
true,70,11659912,44,34.697,28.6,2026-04-16 14:54:21
true,80,12057289,45,35.151,28.2,2026-04-16 14:56:15
true,90,12056458,45,35.276,28.1,2026-04-16 14:58:09
