gc_mode,finish_threshold,total_pages_to_write,finish_call_count,latency_micros_per_op,throughput_MB_per_s,timestamp
false,0,0,0,18.001,55.1,2026-04-13 14:42:59
false,10,141209,3,18.200,54.5,2026-04-13 14:43:22
false,20,236481,3,19.486,50.9,2026-04-13 14:43:46
false,30,425647,3,19.457,51.0,2026-04-13 14:44:10
false,40,570201,3,20.207,49.1,2026-04-13 14:44:34
false,50,713692,3,20.858,47.6,2026-04-13 14:44:59
false,60,1381481,5,22.248,44.6,2026-04-13 14:45:27
false,70,2000474,6,26.169,37.9,2026-04-13 14:45:58
false,80,2905031,8,30.348,32.7,2026-04-13 14:46:33
false,90,17153156,40,90.202,11.0,2026-04-13 14:48:09
true,0,0,0,17.856,55.5,2026-04-13 14:48:33
true,10,95842,2,17.896,55.4,2026-04-13 14:48:57
true,20,190743,2,17.675,56.1,2026-04-13 14:49:21
true,30,379205,3,19.251,51.5,2026-04-13 14:49:45
true,40,522123,3,19.793,50.1,2026-04-13 14:50:19
true,50,952391,4,22.001,45.1,2026-04-13 14:50:53
true,60,1427902,5,22.633,43.8,2026-04-13 14:51:27
true,70,2000248,6,26.325,37.7,2026-04-13 14:52:02
true,80,3333239,9,30.517,32.5,2026-04-13 14:52:46
true,90,17153637,40,90.281,11.0,2026-04-13 14:54:30
